Id,Label,Modularity Class
ZAVALA,ZAVALA,0
ZAMORA,ZAMORA,2
MURILLO,MURILLO,0
ROSALEZ,ROSALEZ,0
CORTES,CORTES,1
MARTINEZ,MARTINEZ,1
AGUILA,AGUILA,1
GARCIA,GARCIA,1
RODRIGUEZ,RODRIGUEZ,1
GOMEZ,GOMEZ,1
RIVERA,RIVERA,1
SALAS,SALAS,0
LOERA,LOERA,0
VALDES,VALDES,2
VALDEZ,VALDEZ,0
BECERRIL,BECERRIL,3
RAMIREZ,RAMIREZ,1
HERNANDEZ,HERNANDEZ,1
VALADEZ,VALADEZ,1
NAVARRO,NAVARRO,2
DELGADILLO,DELGADILLO,2
ALONSO,ALONSO,2
HUERTA,HUERTA,1
SALDIVAR,SALDIVAR,2
ALONZO,ALONZO,5
DE_LUNA,DE_LUNA,1
AVILA,AVILA,2
ALANIZ,ALANIZ,2
DE_SANTIAGO,DE_SANTIAGO,2
AGUAYO,AGUAYO,2
ALVARADO,ALVARADO,2
ROMO,ROMO,2
RANGEL,RANGEL,0
OVALLE,OVALLE,2
BARBOSA,BARBOSA,0
CARRERA,CARRERA,1
GONZALEZ,GONZALEZ,1
ARECHIGA,ARECHIGA,0
CASILLAS,CASILLAS,0
CONTRERAS,CONTRERAS,0
ALVAREZ,ALVAREZ,1
VALENCIANO,VALENCIANO,2
PASILLAS,PASILLAS,1
PLASCENCIA,PLASCENCIA,2
RENTERIA,RENTERIA,0
RAMOS,RAMOS,1
MATA,MATA,2
JURADO,JURADO,2
ROBLES,ROBLES,0
CHAVEZ,CHAVEZ,1
NARVAEZ,NARVAEZ,2
QUEZADA,QUEZADA,2
MACIAS,MACIAS,0
ESTRADA,ESTRADA,2
CAMARILLO,CAMARILLO,0
MUÑOZ,MUÑOZ,1
XX,XX,4
REYES,REYES,1
ESPARZA,ESPARZA,1
BAÑUELOS,BAÑUELOS,0
IBARRA,IBARRA,2
MORENO,MORENO,2
DE_LIRA,DE_LIRA,0
DURON,DURON,0
SOLIS,SOLIS,0
ROMERO,ROMERO,1
GUZMAN,GUZMAN,0
COLLAZO,COLLAZO,1
CASTRO,CASTRO,0
CASTORENA,CASTORENA,0
GUTIERREZ,GUTIERREZ,1
ESPINOZA,ESPINOZA,0
SUAREZ,SUAREZ,2
CAMACHO,CAMACHO,0
CASTAÑEDA,CASTAÑEDA,2
TORRES,TORRES,1
LIZARAN,LIZARAN,0
BARRIENTOS,BARRIENTOS,0
MOYA,MOYA,1
GUERRERO,GUERRERO,1
PLACIDO,PLACIDO,0
ESQUIVEL,ESQUIVEL,2
HERNANDES,HERNANDES,1
PLATA,PLATA,0
ESCOBAR,ESCOBAR,2
VELAZQUEZ,VELAZQUEZ,2
CRUZ,CRUZ,1
APPENDINI,APPENDINI,0
SALAZAR,SALAZAR,1
MONTAÑEZ,MONTAÑEZ,2
CORDOVA,CORDOVA,0
MOSQUEDA,MOSQUEDA,2
SANDOVAL,SANDOVAL,0
BAEZ,BAEZ,0
PEREZ,PEREZ,1
CAMPOS,CAMPOS,0
MEDINA,MEDINA,0
PALACIOS,PALACIOS,1
SANTOS,SANTOS,4
MORALES,MORALES,1
ORENDAY,ORENDAY,0
JIMENEZ,JIMENEZ,1
CORONADO,CORONADO,2
AGUILAR,AGUILAR,2
CERVANTES,CERVANTES,2
ABOITES,ABOITES,0
VALLE,VALLE,0
RUIZ,RUIZ,2
VELASCO,VELASCO,1
TRISTAN,TRISTAN,1
CARMONA,CARMONA,0
LOPEZ,LOPEZ,1
LLAMAS,LLAMAS,2
DE_ANDA,DE_ANDA,1
FERNANDEZ,FERNANDEZ,2
VILLALOBOS,VILLALOBOS,0
MUNGUIA,MUNGUIA,3
OLVERA,OLVERA,2
GLORIA,GLORIA,1
FLORES,FLORES,1
MELENDRES,MELENDRES,1
NUÑEZ,NUÑEZ,2
BELTRAN,BELTRAN,0
DOMINGUEZ,DOMINGUEZ,1
DE_LA_CRUZ,DE_LA_CRUZ,1
PUENTES,PUENTES,0
LARA,LARA,0
GUITRON,GUITRON,0
DELGADO,DELGADO,2
HERRADA,HERRADA,0
ESQUEDA,ESQUEDA,2
DIAZ,DIAZ,1
GALVAN,GALVAN,2
MEJIA,MEJIA,3
PALACIO,PALACIO,0
HERRERA,HERRERA,2
PIZARRO,PIZARRO,0
NIÑO,NIÑO,2
MONTOYA,MONTOYA,0
VALTIERRA,VALTIERRA,1
ACOSTA,ACOSTA,0
LOZANO,LOZANO,1
VALDIVIA,VALDIVIA,1
ROMAN,ROMAN,2
CALDERON,CALDERON,0
MENDEZ,MENDEZ,0
DE_LOS_SANTOS,DE_LOS_SANTOS,2
GRIMALDO,GRIMALDO,2
MONTESINOS,MONTESINOS,1
NEGRETE,NEGRETE,2
SANCHEZ,SANCHEZ,1
NIETO,NIETO,2
SERNA,SERNA,1
ESCOBEDO,ESCOBEDO,2
SEGOVIA,SEGOVIA,0
VILLALPANDO,VILLALPANDO,2
VILLARREAL,VILLARREAL,2
GALLEGOS,GALLEGOS,2
GALINDO,GALINDO,2
ARENAS,ARENAS,1
ORTEGA,ORTEGA,0
YLLESCAS,YLLESCAS,0
CALVILLO,CALVILLO,0
ORTIZ,ORTIZ,1
VIRAMONTES,VIRAMONTES,1
LANDEROS,LANDEROS,2
