Id,Label,Modularity Class
CARRILLO,CARRILLO,1
MENA,MENA,1
GARCIA,GARCIA,0
CHIMAL,CHIMAL,2
CUPUL,CUPUL,2
PEREZ,PEREZ,0
HERNANDEZ,HERNANDEZ,0
FLORES,FLORES,0
COCOM,COCOM,2
BLANCO,BLANCO,1
PECH,PECH,2
CEPEDA,CEPEDA,1
TRUJILLO,TRUJILLO,0
PACHECO,PACHECO,1
VALENCIA,VALENCIA,0
MEDINA,MEDINA,1
CHAVEZ,CHAVEZ,0
UICAB,UICAB,2
VAZQUEZ,VAZQUEZ,0
BONFIL,BONFIL,0
VILLAR,VILLAR,0
ABOUMRAD,ABOUMRAD,0
MOO,MOO,2
CASTILLO,CASTILLO,1
ARANDA,ARANDA,1
SANCHEZ,SANCHEZ,0
GÜEMEZ,GÜEMEZ,0
PAREDES,PAREDES,1
MORENO,MORENO,0
TORRES,TORRES,0
MORALES,MORALES,0
CORONADO,CORONADO,1
RUIZ,RUIZ,0
LIZAMA,LIZAMA,1
PRECIADO,PRECIADO,0
MILIAN,MILIAN,0
ISLAS,ISLAS,0
VELAZQUEZ,VELAZQUEZ,0
MARIN,MARIN,1
CANTE,CANTE,2
PAT,PAT,2
ORTEGA,ORTEGA,0
DAJDAJ,DAJDAJ,0
NOVELO,NOVELO,1
DE_OCAMPO,DE_OCAMPO,0
GAMBOA,GAMBOA,1
SALAZAR,SALAZAR,1
RIVAS,RIVAS,0
ALVARADO,ALVARADO,0
ROBERTOS,ROBERTOS,1
NAJERA,NAJERA,2
KU,KU,2
ROSEL,ROSEL,1
GOMEZ,GOMEZ,0
CHABLE,CHABLE,2
MARTINEZ,MARTINEZ,0
POOL,POOL,2
OSORIO,OSORIO,0
XX,XX,1
ESCUDERO,ESCUDERO,0
LOPEZ,LOPEZ,0
PERAZA,PERAZA,1
AGUIRRE,AGUIRRE,0
ESTRADA,ESTRADA,0
PORTILLO,PORTILLO,0
DOMINGUEZ,DOMINGUEZ,0
EK,EK,2
SOTO,SOTO,0
TREJO,TREJO,1
DZIB,DZIB,2
BRITO,BRITO,2
CANUL,CANUL,2
CAN,CAN,2
TRIUJEQUE,TRIUJEQUE,0
ALCOCER,ALCOCER,1
HERRERA,HERRERA,1
LEYVA,LEYVA,0
MAGAÑA,MAGAÑA,1
CAB,CAB,2
DELGADO,DELGADO,0
NOH,NOH,2
