Id,Label,Modularity Class
PEREZ,PEREZ,5
PUERTO,PUERTO,4
CORDERO,CORDERO,1
SANCHEZ,SANCHEZ,5
CERVANTES,CERVANTES,1
NERI,NERI,2
SOLEDAD,SOLEDAD,2
REYES,REYES,5
ZAPATA,ZAPATA,5
MOYA,MOYA,1
DIAZ,DIAZ,5
LEZAMA,LEZAMA,2
CASTORENA,CASTORENA,1
FLORES,FLORES,2
DE_LA_ROSA,DE_LA_ROSA,1
COLLAZO,COLLAZO,1
CAMPOS,CAMPOS,1
BASURTO,BASURTO,2
VICENCIO,VICENCIO,2
ORTEGA,ORTEGA,1
GOMEZ,GOMEZ,5
ALVAREZ,ALVAREZ,5
JARA,JARA,1
GARCIA,GARCIA,5
CALZADA,CALZADA,1
HERNANDEZ,HERNANDEZ,5
XX,XX,5
SAUCEDO,SAUCEDO,1
ESPARZA,ESPARZA,1
PUENTES,PUENTES,1
MUÑOZ,MUÑOZ,1
SANTOYO,SANTOYO,1
RAMIREZ,RAMIREZ,5
VILLANUEVA,VILLANUEVA,2
ROJAS,ROJAS,2
NIEVES,NIEVES,1
MARTINEZ,MARTINEZ,5
VALADEZ,VALADEZ,1
MENDEZ,MENDEZ,5
MORENO,MORENO,1
RODRIGUEZ,RODRIGUEZ,5
DELGADO,DELGADO,1
PADRON,PADRON,1
GUTIERREZ,GUTIERREZ,5
ROMERO,ROMERO,1
CANO,CANO,2
DE_LIRA,DE_LIRA,1
VEGA,VEGA,1
LOPEZ,LOPEZ,5
RAMOS,RAMOS,5
GUERRERO,GUERRERO,1
ARANDA,ARANDA,1
CASTILLO,CASTILLO,1
ESQUIVEL,ESQUIVEL,1
PORRAS,PORRAS,1
TRANCOSO,TRANCOSO,0
PANUCO,PANUCO,1
GAUCIN,GAUCIN,1
DELGADILLO,DELGADILLO,1
RUIZ_ESPARZA,RUIZ_ESPARZA,0
LOERA,LOERA,1
MONTAÑEZ,MONTAÑEZ,1
TREJO,TREJO,1
ACOSTA,ACOSTA,1
CORTEZ,CORTEZ,2
CASILLAS,CASILLAS,1
BONILLA,BONILLA,2
CORDOVA,CORDOVA,5
GONZALEZ,GONZALEZ,5
LARA,LARA,1
DURON,DURON,1
MALDONADO,MALDONADO,1
AVILA,AVILA,1
MORALES,MORALES,5
ANDRADE,ANDRADE,1
BECERRA,BECERRA,1
CISNEROS,CISNEROS,1
MALFAVON,MALFAVON,1
MARQUEZ,MARQUEZ,5
PADILLA,PADILLA,1
SOLANO,SOLANO,2
JAIME,JAIME,1
GUEVARA,GUEVARA,1
CRUZ,CRUZ,5
BRAVO,BRAVO,2
MARIN,MARIN,2
SERNA,SERNA,1
HERRERA,HERRERA,1
LUCIO,LUCIO,2
MOLINA,MOLINA,2
AGUILERA,AGUILERA,1
LOZANO,LOZANO,1
GALINDO,GALINDO,2
MACIAS,MACIAS,1
BARRAGAN,BARRAGAN,1
PALACIOS,PALACIOS,2
RIVERA,RIVERA,1
ALVARADO,ALVARADO,1
AGUIÑAGA,AGUIÑAGA,1
ZUÑIGA,ZUÑIGA,1
CARRILLO,CARRILLO,1
FREGOSO,FREGOSO,1
ESQUEDA,ESQUEDA,1
RAUDALES,RAUDALES,1
PERALTA,PERALTA,2
OROZCO,OROZCO,1
DONDIEGO,DONDIEGO,1
JACOBO,JACOBO,2
ROMO,ROMO,1
LEGUIZAMO,LEGUIZAMO,2
VARGAS,VARGAS,1
VILCHIS,VILCHIS,1
AZCONA,AZCONA,5
CONTRERAS,CONTRERAS,1
VALDIVIA,VALDIVIA,1
DE_LUNA,DE_LUNA,1
VELAZQUEZ,VELAZQUEZ,5
SANTOS,SANTOS,2
CHAVEZ,CHAVEZ,1
SANCHES,SANCHES,3
ORTIZ,ORTIZ,5
VAZQUEZ,VAZQUEZ,5
CARDONA,CARDONA,1
MONTOYA,MONTOYA,1
JACQUES,JACQUES,0
JIMENEZ,JIMENEZ,5
OLIVARES,OLIVARES,1
BELTRAN,BELTRAN,1
RANGEL,RANGEL,1
MATA,MATA,1
VILLALOBOS,VILLALOBOS,1
ALFARO,ALFARO,1
GALLARDO,GALLARDO,2
RUIZ,RUIZ,5
ARELLANO,ARELLANO,1
MEZA,MEZA,1
GUILLEN,GUILLEN,1
IBARRA,IBARRA,1
MURILLO,MURILLO,1
SALDAÑA,SALDAÑA,1
MONTANTES,MONTANTES,1
ALARCON,ALARCON,2
VELA,VELA,1
OLVERA,OLVERA,1
MARCIAL,MARCIAL,2
ARAIZA,ARAIZA,1
TOSTADO,TOSTADO,1
LUCERO,LUCERO,2
GALLEGOS,GALLEGOS,1
DE_LARA,DE_LARA,1
NIETO,NIETO,1
FALCON,FALCON,1
OVALLE,OVALLE,1
ESCOBAR,ESCOBAR,5
LOMELI,LOMELI,1
VALENCIANO,VALENCIANO,1
CARRANZA,CARRANZA,1
ARRIAGA,ARRIAGA,1
PONCE,PONCE,1
LUJAN,LUJAN,1
VENEGAS,VENEGAS,1
PASILLAS,PASILLAS,5
OCON,OCON,1
TORRES,TORRES,5
MEDINA,MEDINA,1
SALAS,SALAS,1
SANDOVAL,SANDOVAL,1
SILVA,SILVA,1
AGUILAR,AGUILAR,5
RUBALCABA,RUBALCABA,1
MEJIA,MEJIA,5
JASSO,JASSO,1
LUEVANO,LUEVANO,1
VIDAL,VIDAL,2
BERNAL,BERNAL,2
BAEZ,BAEZ,1
VALTIERRA,VALTIERRA,1
ROSALES,ROSALES,1
ALEMAN,ALEMAN,1
HERRADA,HERRADA,1
ESCOBEDO,ESCOBEDO,1
ZAMORA,ZAMORA,1
OLIVA,OLIVA,1
IPIÑA,IPIÑA,1
FERNANDEZ,FERNANDEZ,1
ZAVALA,ZAVALA,1
PAREDES,PAREDES,1
TIRADO,TIRADO,1
ARAGON,ARAGON,2
LUJANO,LUJANO,1
GUIZAR,GUIZAR,1
ROBLES,ROBLES,1
ROSAS,ROSAS,2
DE_LA_CRUZ,DE_LA_CRUZ,5
CORPUS,CORPUS,1
QUINTERO,QUINTERO,1
TISCAREÑO,TISCAREÑO,1
MACIEL,MACIEL,1
VITAL,VITAL,2
DE_ANDA,DE_ANDA,1
DURAN,DURAN,1
LIMON,LIMON,1
GAYTAN,GAYTAN,1
SOSA,SOSA,2
CARDENAS,CARDENAS,1
FRIAS,FRIAS,1
DAVILA,DAVILA,1
SUAREZ,SUAREZ,1
PIÑA,PIÑA,1
MARES,MARES,1
CORTES,CORTES,5
CALVILLO,CALVILLO,1
AMBRIZ,AMBRIZ,1
ENCINA,ENCINA,0
LECHUGA,LECHUGA,1
SERRANO,SERRANO,1
ARROYO,ARROYO,1
DE_LOERA,DE_LOERA,1
CACILLAS,CACILLAS,0
REZA,REZA,2
NUÑEZ,NUÑEZ,1
GONZALES,GONZALES,2
SALVADOR,SALVADOR,2
VELASCO,VELASCO,5
TRINIDAD,TRINIDAD,2
CASTRO,CASTRO,2
RAYGOZA,RAYGOZA,1
RIVAS,RIVAS,1
DEMETRIO,DEMETRIO,2
SEGURA,SEGURA,1
SANTILLAN,SANTILLAN,1
CASTAÑEDA,CASTAÑEDA,1
ARCOS,ARCOS,5
GAVINO,GAVINO,0
MOTA,MOTA,1
