Id,Label,Modularity Class
ABA,ABA,0
ABAD,ABAD,2
ABADIA,ABADIA,0
ABALOS,ABALOS,2
ABAN,ABAN,6
ABARCA,ABARCA,1
ABAROA,ABAROA,2
ABASCAL,ABASCAL,2
ABASOLO,ABASOLO,2
ABASTA,ABASTA,0
ABDALA,ABDALA,0
ABDO,ABDO,0
ABEJA,ABEJA,1
ABELINO,ABELINO,0
ABITIA,ABITIA,4
ABNAL,ABNAL,0
ABOITE,ABOITE,0
ABONCE,ABONCE,1
ABOYTE,ABOYTE,4
ABOYTES,ABOYTES,4
ABRAHAM,ABRAHAM,2
ABRAJAN,ABRAJAN,2
ABREGO,ABREGO,1
ABREO,ABREO,2
ABREU,ABREU,2
ABRICA,ABRICA,1
ABRIL,ABRIL,11
ABSALON,ABSALON,0
ABUD,ABUD,2
ABUNDES,ABUNDES,0
ABUNDEZ,ABUNDEZ,2
ABUNDIO,ABUNDIO,2
ABUNDIS,ABUNDIS,2
ABUNDIZ,ABUNDIZ,1
ABURTO,ABURTO,2
AC,AC,6
ACA,ACA,2
ACALCO,ACALCO,2
ACATA,ACATA,2
ACEBO,ACEBO,0
ACEDO,ACEDO,4
ACENCIO,ACENCIO,0
ACERO,ACERO,2
ACEVEDO,ACEVEDO,1
ACEVES,ACEVES,1
ACEVEZ,ACEVEZ,0
ACHA,ACHA,1
ACHOY,ACHOY,4
ACO,ACO,11
ACOPA,ACOPA,2
ACOSTA,ACOSTA,4
ACUCHI,ACUCHI,2
ACUÑA,ACUÑA,1
ADAME,ADAME,1
ADAN,ADAN,2
ADARGAS,ADARGAS,0
ADAUTA,ADAUTA,0
ADAYA,ADAYA,2
ADORNO,ADORNO,2
ADRIAN,ADRIAN,11
ADRIANO,ADRIANO,4
ADUNA,ADUNA,0
AES,AES,0
AGAMA,AGAMA,0
AGAPITO,AGAPITO,2
AGIS,AGIS,0
AGOSTO,AGOSTO,0
AGRAMON,AGRAMON,4
AGRAMONT,AGRAMONT,0
AGRAZ,AGRAZ,4
AGREDANO,AGREDANO,0
AGUADO,AGUADO,2
AGUAS,AGUAS,2
AGUAYO,AGUAYO,1
AGUDO,AGUDO,0
AGUERO,AGUERO,1
AGUIAR,AGUIAR,4
AGUILA,AGUILA,2
AGUILAR,AGUILAR,2
AGUILAR_ROBLES,AGUILAR_ROBLES,0
AGUILERA,AGUILERA,1
AGUILETA,AGUILETA,0
AGUILLON,AGUILLON,1
AGUILUZ,AGUILUZ,4
AGUIÑAGA,AGUIÑAGA,1
AGUIÑIGA,AGUIÑIGA,2
AGUIRRE,AGUIRRE,1
AGUIRREZ,AGUIRREZ,0
AGUNDEZ,AGUNDEZ,4
AGUNDIS,AGUNDIS,4
AGUNDIZ,AGUNDIZ,0
AGUSTIN,AGUSTIN,2
AGUSTINCE,AGUSTINCE,1
AHEDO,AHEDO,0
AHUJA,AHUJA,0
AHUMADA,AHUMADA,4
AISPURO,AISPURO,4
AJOLEZA,AJOLEZA,0
AJURIA,AJURIA,2
AKE,AKE,6
ALAGUNA,ALAGUNA,0
ALAMBAR,ALAMBAR,0
ALAMEA,ALAMEA,4
ALAMEDA,ALAMEDA,2
ALAMILLA,ALAMILLA,2
ALAMILLO,ALAMILLO,1
ALAMINA,ALAMINA,4
ALAMO,ALAMO,2
ALAMOS,ALAMOS,1
ALAN,ALAN,0
ALANIS,ALANIS,1
ALANIZ,ALANIZ,1
ALAPISCO,ALAPISCO,0
ALAPIZCO,ALAPIZCO,4
ALARCON,ALARCON,4
ALARID,ALARID,4
ALAS,ALAS,0
ALATORRE,ALATORRE,1
ALATRISTE,ALATRISTE,2
ALAVEZ,ALAVEZ,2
ALAYERA,ALAYERA,0
ALAYOLA,ALAYOLA,1
ALBA,ALBA,1
ALBAÑIL,ALBAÑIL,1
ALBARADO,ALBARADO,2
ALBARES,ALBARES,0
ALBARRAN,ALBARRAN,2
ALBAVERA,ALBAVERA,2
ALBELDAÑO,ALBELDAÑO,0
ALBERT,ALBERT,0
ALBERTO,ALBERTO,2
ALBESTRAIN,ALBESTRAIN,0
ALBINO,ALBINO,2
ALBO,ALBO,0
ALBOR,ALBOR,1
ALBORES,ALBORES,2
ALBORNOS,ALBORNOS,0
ALCALA,ALCALA,1
ALCALDE,ALCALDE,2
ALCANTAR,ALCANTAR,1
ALCANTARA,ALCANTARA,2
ALCARAZ,ALCARAZ,1
ALCAUTER,ALCAUTER,2
ALCAY,ALCAY,0
ALCAYDE,ALCAYDE,0
ALCAZAR,ALCAZAR,1
ALCOCER,ALCOCER,6
ALCORCHA,ALCORCHA,0
ALCORTA,ALCORTA,1
ALCOSER,ALCOSER,2
ALCUDIA,ALCUDIA,2
ALDABA,ALDABA,1
ALDACO,ALDACO,1
ALDAIZ,ALDAIZ,0
ALDAMA,ALDAMA,2
ALDAN,ALDAN,0
ALDANA,ALDANA,2
ALDAPA,ALDAPA,4
ALDAPE,ALDAPE,1
ALDAVA,ALDAVA,4
ALDAVE,ALDAVE,4
ALDAY,ALDAY,1
ALDAZ,ALDAZ,1
ALDECO,ALDECO,0
ALDECOA,ALDECOA,0
ALDERETE,ALDERETE,1
ALDRETE,ALDRETE,2
ALDUCIN,ALDUCIN,2
ALDUENDA,ALDUENDA,4
ALEGRE,ALEGRE,1
ALEGRIA,ALEGRIA,2
ALEJANDRE,ALEJANDRE,1
ALEJANDRES,ALEJANDRES,2
ALEJANDREZ,ALEJANDREZ,1
ALEJANDRO,ALEJANDRO,2
ALEJO,ALEJO,2
ALEJOS,ALEJOS,1
ALEMAN,ALEMAN,1
ALENCASTRO,ALENCASTRO,0
ALEXANDER,ALEXANDER,0
ALFARO,ALFARO,1
ALFEREZ,ALFEREZ,2
ALFONSO,ALFONSO,2
ALGANDAR,ALGANDAR,4
ALGARIN,ALGARIN,0
ALICANO,ALICANO,0
ALIPI,ALIPI,2
ALLAR,ALLAR,0
ALLENDE,ALLENDE,2
ALMADA,ALMADA,4
ALMADER,ALMADER,1
ALMAGUER,ALMAGUER,1
ALMANZA,ALMANZA,1
ALMANZAR,ALMANZAR,0
ALMARAL,ALMARAL,4
ALMARAZ,ALMARAZ,1
ALMAZAN,ALMAZAN,2
ALMEDA,ALMEDA,1
ALMEIDA,ALMEIDA,4
ALMEJO,ALMEJO,2
ALMENDAREZ,ALMENDAREZ,1
ALMENDARIZ,ALMENDARIZ,1
ALMENDRA,ALMENDRA,0
ALMENGOR,ALMENGOR,0
ALMERAZ,ALMERAZ,1
ALMEYDA,ALMEYDA,2
ALMODOVAR,ALMODOVAR,4
ALMONTE,ALMONTE,1
ALMONTES,ALMONTES,2
ALMORA,ALMORA,2
ALONSO,ALONSO,2
ALONZO,ALONZO,1
ALOR,ALOR,2
ALPIZAR,ALPIZAR,2
ALPUCHE,ALPUCHE,6
ALQUICIRA,ALQUICIRA,4
ALQUISIRAS,ALQUISIRAS,0
ALTA,ALTA,2
ALTAMIRA,ALTAMIRA,2
ALTAMIRANO,ALTAMIRANO,2
ALTUNAR,ALTUNAR,2
ALTUZAR,ALTUZAR,0
ALVA,ALVA,2
ALVARADO,ALVARADO,1
ALVARES,ALVARES,2
ALVAREZ,ALVAREZ,1
ALVAREZ_DEL_CASTILLO,ALVAREZ_DEL_CASTILLO,0
ALVAREZ_TOSTADO,ALVAREZ_TOSTADO,0
ALVARO,ALVARO,2
ALVEAR,ALVEAR,1
ALVELAIS,ALVELAIS,1
ALVIDREZ,ALVIDREZ,1
ALVINO,ALVINO,0
ALVIRA,ALVIRA,0
ALVIRDE,ALVIRDE,0
ALVIREZ,ALVIREZ,0
ALVISO,ALVISO,2
ALVIZAR,ALVIZAR,2
ALVIZO,ALVIZO,1
ALZATE,ALZATE,0
AMABILIS,AMABILIS,0
AMADO,AMADO,2
AMADOR,AMADOR,2
AMANCIO,AMANCIO,0
AMARAL,AMARAL,2
AMARANTE,AMARANTE,0
AMARILLAS,AMARILLAS,4
AMARO,AMARO,2
AMATON,AMATON,0
AMAVISCA,AMAVISCA,0
AMAYA,AMAYA,1
AMAYO,AMAYO,11
AMBRIS,AMBRIS,4
AMBRIZ,AMBRIZ,1
AMBROCIO,AMBROCIO,2
